,source,target
0,0,1
1,0,130
2,0,387
3,0,392
4,0,266
5,0,141
6,0,401
7,0,662
8,0,663
9,0,25
10,0,154
11,0,155
12,0,287
13,0,295
14,0,301
15,0,48
16,0,49
17,0,50
18,0,51
19,0,308
20,0,52
21,0,69
22,0,75
23,0,78
24,0,525
25,0,467
26,0,341
27,0,57
28,0,91
29,0,477
30,0,94
31,0,98
32,0,100
33,0,101
34,0,743
35,0,110
36,0,495
37,0,244
38,0,373
39,0,383
40,1,385
41,1,130
42,1,3
43,1,262
44,1,392
45,1,748
46,1,266
47,1,779
48,1,2
49,1,142
50,1,141
51,1,401
52,1,387
53,1,533
54,1,662
55,1,663
56,1,1560
57,1,25
58,1,154
59,1,155
60,1,287
61,1,288
62,1,165
63,1,295
64,1,301
65,1,477
66,1,48
67,1,49
68,1,50
69,1,51
70,1,52
71,1,312
72,1,308
73,1,244
74,1,829
75,1,1675
76,1,69
77,1,75
78,1,461
79,1,78
80,1,525
81,1,467
82,1,341
83,1,57
84,1,152
85,1,91
86,1,861
87,1,94
88,1,98
89,1,99
90,1,100
91,1,101
92,1,1553
93,1,1103
94,1,487
95,1,743
96,1,21
97,1,110
98,1,495
99,1,242
100,1,372
101,1,373
102,1,679
103,1,383
104,1,380
105,1,264
106,1,149
107,2,98
108,2,3
109,2,100
110,2,613
111,2,295
112,2,438
113,2,748
114,2,130
115,2,719
116,2,242
117,2,387
118,2,308
119,2,21
120,2,642
121,2,154
122,2,383
123,2,477
124,2,101
125,3,387
126,3,385
127,3,392
128,3,620
129,3,130
130,3,21
131,3,154
132,3,295
133,3,308
134,3,438
135,3,719
136,3,642
137,3,477
138,3,613
139,3,98
140,3,100
141,3,101
142,3,807
143,3,748
144,3,242
145,3,383
146,4,1123
147,4,5
148,4,173
149,4,687
150,4,291
151,4,468
152,4,1109
153,4,312
154,4,1212
155,5,97
156,5,291
157,5,1212
158,5,1124
159,5,636
160,5,108
161,5,687
162,5,464
163,5,1123
164,5,419
165,5,1300
166,5,1109
167,5,1308
168,5,1081
169,5,312
170,5,468
171,5,1530
172,5,1692
173,5,733
174,5,116
175,6,1026
176,6,292
177,6,1029
178,6,7
179,6,873
180,6,268
181,6,1137
182,6,306
183,6,243
184,6,310
185,6,1015
186,6,1732
187,6,1011
188,7,1026
189,7,292
190,7,1318
191,7,1035
192,7,268
193,7,975
194,7,1137
195,7,306
196,7,243
197,7,310
198,7,1015
199,7,1759
200,7,1732
201,7,1231
202,7,1011
203,7,979
204,7,1029
205,8,1153
206,8,1154
207,8,1221
208,8,1830
209,8,1191
210,8,9
211,8,1194
212,8,1835
213,8,1037
214,8,974
215,8,143
216,8,144
217,8,20
218,8,1471
219,8,1193
220,8,217
221,8,1882
222,8,1947
223,8,1916
224,8,1226
225,8,2053
226,9,1153
227,9,1154
228,9,1191
229,9,1037
230,9,974
231,9,144
232,9,20
233,9,217
234,10,514
235,10,263
236,10,267
237,10,12
238,10,13
239,10,143
240,10,144
241,10,494
242,10,151
243,10,280
244,10,409
245,10,26
246,10,795
247,10,562
248,10,563
249,10,309
250,10,54
251,10,55
252,10,56
253,10,313
254,10,58
255,10,830
256,10,53
257,10,320
258,10,11
259,10,459
260,10,460
261,10,718
262,10,1108
263,10,469
264,10,599
265,10,218
266,10,353
267,10,366
268,10,241
269,10,378
270,10,509
271,11,263
272,11,267
273,11,12
274,11,13
275,11,241
276,11,53
277,11,54
278,11,55
279,11,56
280,11,58
281,11,280
282,12,280
283,12,263
284,12,267
